estacion,fecha,umbral,conteo
63,05-11-2021,NARANJA,2
24,20-06-2022,NARANJA,2
63,08-05-2020,NARANJA,2
57,24-10-2020,NARANJA,2
24,21-11-2020,ROJO,2
57,25-04-2020,NARANJA,2
63,07-09-2021,NARANJA,2
35,10-12-2019,NARANJA,2
24,26-06-2020,NARANJA,2
57,25-08-2020,NARANJA,2
24,27-12-2021,ROJO,2
63,06-06-2021,NARANJA,2
57,27-09-2020,NARANJA,2
24,30-06-2020,AMARILLO,2
63,05-12-2020,AMARILLO,2
63,05-10-2021,ROJO,2
63,23-06-2021,ROJO,2
63,05-06-2022,NARANJA,2
57,28-06-2020,NARANJA,2
57,28-08-2021,NARANJA,2
63,05-04-2022,NARANJA,2
25,03-06-2021,ROJO,2
25,03-07-2022,AMARILLO,2
25,03-07-2022,NARANJA,2
34,31-03-2022,NARANJA,2
63,02-11-2021,AMARILLO,2
57,31-05-2020,NARANJA,2
57,31-05-2022,NARANJA,2
25,04-11-2021,NARANJA,2
57,31-12-2021,AMARILLO,2
34,27-11-2021,NARANJA,2
35,21-09-2021,NARANJA,2
63,10-10-2020,NARANJA,2
57,20-11-2021,AMARILLO,2
45,24-09-2021,AMARILLO,2
57,14-10-2021,NARANJA,2
36,01-08-2022,AMARILLO,2
57,15-04-2020,NARANJA,2
63,21-10-2019,ROJO,2
63,21-09-2020,ROJO,2
63,21-09-2020,NARANJA,2
24,07-06-2020,ROJO,2
57,15-10-2020,NARANJA,2
24,07-07-2020,ROJO,2
63,20-06-2021,ROJO,2
57,18-07-2020,NARANJA,2
24,08-09-2020,ROJO,2
24,08-10-2021,AMARILLO,2
35,31-01-2020,NARANJA,2
24,10-03-2021,NARANJA,2
24,10-07-2021,NARANJA,2
57,19-02-2022,NARANJA,2
57,19-05-2020,NARANJA,2
24,11-07-2020,NARANJA,2
24,11-07-2020,ROJO,2
24,11-08-2021,AMARILLO,2
24,14-07-2020,NARANJA,2
63,13-07-2021,NARANJA,2
35,25-10-2019,NARANJA,2
57,20-04-2020,NARANJA,2
63,11-11-2019,ROJO,2
35,23-09-2020,NARANJA,2
63,11-10-2021,AMARILLO,2
63,11-05-2022,NARANJA,2
37,30-10-2020,NARANJA,2
31,06-10-2020,NARANJA,2
8,12-06-2022,NARANJA,2
76,25-05-2022,NARANJA,2
73,08-11-2019,NARANJA,2
7,22-06-2022,AMARILLO,2
45,08-07-2021,NARANJA,2
75,15-05-2020,AMARILLO,2
10,18-02-2022,NARANJA,2
78,17-10-2021,ROJO,2
73,07-09-2021,NARANJA,2
47,22-05-2022,NARANJA,2
10,18-10-2021,AMARILLO,2
10,18-10-2021,ROJO,2
44,11-06-2022,ROJO,2
49,10-11-2021,AMARILLO,2
73,05-11-2021,AMARILLO,2
78,18-10-2021,NARANJA,2
10,19-08-2020,NARANJA,2
3,18-06-2022,NARANJA,2
76,29-06-2022,NARANJA,2
39,11-07-2022,NARANJA,2
7,19-08-2020,NARANJA,2
5,29-07-2021,NARANJA,2
10,21-04-2020,AMARILLO,2
4,02-04-2020,ROJO,2
10,15-08-2020,NARANJA,2
75,14-06-2022,ROJO,2
10,12-11-2020,NARANJA,2
73,12-10-2021,NARANJA,2
39,18-05-2022,AMARILLO,2
47,23-11-2020,ROJO,2
73,11-06-2022,NARANJA,2
4,19-05-2022,NARANJA,2
46,16-02-2021,NARANJA,2
77,02-01-2020,NARANJA,2
4,18-06-2022,NARANJA,2
39,16-10-2021,NARANJA,2
10,12-11-2021,AMARILLO,2
10,14-11-2019,NARANJA,2
39,16-04-2020,NARANJA,2
41,05-12-2020,AMARILLO,2
49,07-06-2022,AMARILLO,2
4,15-10-2019,AMARILLO,2
46,14-06-2021,ROJO,2
45,06-11-2019,NARANJA,2
39,15-11-2021,AMARILLO,2
4,09-10-2019,NARANJA,2
73,09-05-2021,NARANJA,2
10,21-07-2020,NARANJA,2
39,09-11-2021,NARANJA,2
47,20-12-2019,NARANJA,2
10,29-03-2022,ROJO,2
45,12-08-2021,AMARILLO,2
2,30-04-2020,AMARILLO,2
45,12-08-2021,NARANJA,2
6,02-11-2020,ROJO,2
10,28-11-2021,ROJO,2
6,03-11-2020,NARANJA,2
49,22-08-2021,ROJO,2
78,22-12-2019,NARANJA,2
10,28-12-2021,ROJO,2
45,02-10-2020,NARANJA,2
78,21-10-2021,NARANJA,2
38,30-03-2022,NARANJA,2
38,28-12-2020,NARANJA,2
10,29-10-2019,NARANJA,2
10,29-10-2019,ROJO,2
78,24-09-2021,NARANJA,2
72,22-11-2020,NARANJA,2
2,26-06-2020,NARANJA,2
38,26-08-2020,NARANJA,2
72,21-11-2020,NARANJA,2
45,12-06-2020,NARANJA,2
39,02-06-2022,NARANJA,2
10,21-09-2021,NARANJA,2
10,25-01-2021,AMARILLO,2
10,21-10-2021,AMARILLO,2
5,30-10-2021,NARANJA,2
39,09-11-2021,AMARILLO,2
45,12-01-2021,ROJO,2
10,24-01-2020,NARANJA,2
47,19-08-2020,NARANJA,2
7,14-06-2022,NARANJA,2
10,24-10-2021,NARANJA,2
10,24-11-2021,AMARILLO,2
49,17-08-2021,ROJO,2
72,27-10-2021,NARANJA,2
2,31-05-2022,NARANJA,2
72,30-11-2021,NARANJA,2
10,27-02-2020,ROJO,2
72,30-10-2021,NARANJA,2
39,03-05-2020,AMARILLO,2
72,30-01-2020,ROJO,2
49,19-11-2020,AMARILLO,2
2,30-09-2019,NARANJA,2
72,29-04-2021,NARANJA,2
49,05-03-2022,NARANJA,2
73,13-03-2020,NARANJA,2
4,19-05-2022,ROJO,2
5,10-01-2021,NARANJA,2
73,29-05-2022,AMARILLO,2
40,11-06-2022,AMARILLO,2
77,14-10-2019,NARANJA,2
40,09-05-2022,NARANJA,2
5,12-02-2021,NARANJA,2
9,10-08-2021,AMARILLO,2
5,11-11-2021,AMARILLO,2
9,10-08-2021,NARANJA,2
73,27-05-2021,NARANJA,2
45,02-12-2020,ROJO,2
9,04-03-2021,NARANJA,2
5,09-11-2021,NARANJA,2
40,06-05-2022,NARANJA,2
5,20-07-2021,NARANJA,2
47,28-10-2021,NARANJA,2
